index,file_index,file_entry_index,run,subrun,event,is_primary,pid,start_point_x,start_point_y,start_point_z,momentum_x,momentum_y,momentum_z,start_dir_x,start_dir_y,start_dir_z,ke
0,0,0,0,0,0,True,1,-305.3263244628906,-105.74530029296876,433.9498901367188,686.2149047851562,-842.6416015625,5007.86572265625,0.1339108049869537,-0.1644365638494491,0.9772555828094482,5124.41748046875
1,0,1,0,0,1,True,1,77.128662109375,-138.1092987060547,500.5379028320313,481.0103149414063,-3249.69873046875,14198.396484375,0.0330058597028255,-0.2229871153831482,0.9742624163627625,14571.053286305403
2,0,2,0,0,2,True,1,-71.7965087890625,-195.7693023681641,841.017822265625,-482.7789001464844,-150.4341583251953,822.7156982421875,-0.4999289214611053,-0.1557781100273132,0.8519414663314819,965.1307147097916
4,0,4,0,0,4,True,1,-224.75515747070312,75.04669189453125,884.169921875,212.9140472412109,-678.8032836914062,21136.123046875,0.0100677665323019,-0.032097615301609,0.9994340538978576,21148.091796875
6,0,6,0,0,6,True,1,254.29937744140625,-120.2532958984375,604.6298828125,343.6369323730469,-189.66226196289065,7570.87255859375,0.045328464359045,-0.0250179730355739,0.9986587762832642,7579.175794547049
7,0,7,0,0,7,True,1,-245.98797607421875,-88.63330078125,687.5178833007812,39.889102935791016,184.1544952392578,4618.322265625,0.0086299618706107,0.0398416146636009,0.9991687536239624,4621.099422228159
8,0,8,0,0,8,True,1,37.175567626953125,-127.32129669189452,611.325927734375,-239.78155517578125,64.26795196533203,-68.17276000976562,-0.9314234256744384,0.249646708369255,-0.2648147940635681,256.920777386429
9,0,9,0,0,9,True,1,-9223372013568.0,-9223372013568.0,-9223372013568.0,-408.1497802734375,-1294.62353515625,7208.69580078125,-0.0556411892175674,-0.1764900982379913,0.9827284812927246,7335.388671875
10,0,10,0,0,10,True,1,-20.93963623046875,40.45068359375,829.85791015625,-19.48253631591797,-880.9774780273438,9483.1357421875,-0.0020456276834011,-0.0925008878111839,0.9957104325294496,9522.14998407143
11,0,11,0,0,11,True,1,159.43994140625,-68.54530334472656,754.409912109375,-683.4006958007812,-1345.9168701171875,8025.92529296875,-0.0836819931864738,-0.1648066937923431,0.9827696084976196,8166.6396484375
